year,release_date,title,genre,international_box_office,domestic_box_office,worldwide_box_office
2019,November 22nd,Ardara,Drama,3131.00,n/a,3131.00
2019,November 22nd,Adithya Varma,Drama,6565.00,n/a,6565.00
2019,November 22nd,The Amber Light,Documentary,3221.00,n/a,3221.00
2019,November 22nd,21 Bridges,Thriller/Suspense,14123703.00,28539757.00,42663460.00
2019,November 22nd,3022,Thriller/Suspense,,n/a,
2019,November 22nd,4 Metros,Comedy,2654.00,n/a,2654.00
2019,November 22nd,Age Out,Drama,,n/a,
2019,November 21st,Song of Love,Drama,6780000.00,n/a,6780000.00
2019,June 12th,Selvmordsturisten,Drama,,n/a,
2019,November 21st,Unforgettable,Drama,7313.00,n/a,7313.00
2019,November 22nd,AdiÃ³s,Thriller/Suspense,2268177.00,n/a,2268177.00
2019,November 21st,Eolguleubsneun Boseu,Thriller/Suspense,166177.00,n/a,166177.00
2019,November 21st,Eoje Ileun Modu Kwaenchanhha,Drama,114448.00,n/a,114448.00
2019,November 21st,Jeronimo,Documentary,96771.00,n/a,96771.00
2019,November 21st,Depeche Mode: SPIRITS in the Forest,Concert/Performance,1737287.00,704744.00,2442031.00
2019,November 21st,Davay razvedemsya!,Romantic Comedy,1712078.00,n/a,1712078.00
2019,November 21st,Avanpost,Action,2710285.00,n/a,2710285.00
2019,November 21st,Blue Moon,Thriller/Suspense,1317.00,n/a,1317.00
2019,November 21st,Krov,Drama,886.00,n/a,886.00
2019,November 21st,Abbaneu Yebbeuda,Comedy,12497.00,n/a,12497.00
2019,November 20th,Terminal Sud,Drama,,n/a,
2019,November 21st,Aspromonte - La terra degli ultimi,Documentary,274858.00,n/a,274858.00
2019,November 15th,Zibilla,Adventure,88823.00,n/a,88823.00
2019,November 22nd,Frozen II,Adventure,967808702.00,477373578.00,1445182280.00
2019,November 15th,Waves,Musical,916823.00,1658790.00,2575613.00
2019,November 15th,Willy and the Guardians of the Lake,Adventure,4645.00,n/a,4645.00
2019,November 15th,The Warrior Queen of Jhansi,Drama,10478.00,177437.00,187915.00
2019,November 15th,Turbulencia Zombi,Comedy,6.00,n/a,6.00
