sales_id;year;release_date;title;genre;international_box_office;domestic_box_office;worldwide_box_office
7571;2016;May 20th;Malu: Ni un paso atras;Documentary;18912;n/a;18912
7572;2016;May 20th;Kaptaan;Drama;123558;203790;327348
7573;2016;May 20th;Manhattan Night;Thriller/Suspense;155424;n/a;155424
7574;2016;May 20th;Lu bian ye can;Drama;903072;27477;930549
7575;2016;April 21st;Ma Loute;Comedy;4727894;112481;4840375
7576;2018;May 11th;Arizmendiarrieta, el hombre Cooperativo;Documentary;9433;n/a;9433
7577;2016;September 30th;Harry & Snowman;Documentary;89922;562159;652081
7578;2016;May 20th;El hilo rojo;Drama;3184052;n/a;3184052
7579;2018;May 11th;Anything;Drama;;19037;
7580;2018;May 11th;An American in Paris: The Musical;Musical;1184583;n/a;1184583
7581;2016;May 20th;Kidou senshi Gandamu: The Origin III - Akatsuki no houki;;477689;n/a;477689
7582;2018;May 11th;Always at the Carlyle;Documentary;;174251;
7583;2018;May 10th;Tonno Spiaggiato;Comedy;444390;n/a;444390
7584;2018;May 11th;Another Kind of Wedding;Comedy;;n/a;
7585;2018;May 10th;Si muore tutti democristiani;Comedy;164583;n/a;164583
7586;2018;May 25th;Mary Shelley;Drama;2683416;108900;2792316
7587;2018;September 20th;Loro 2;Drama;2984733;n/a;2984733
7588;2018;May 10th;DirectorÃ¢â‚¬â„¢s Cut;Horror;;n/a;
7589;2018;May 10th;Delirium;Thriller/Suspense;454481;n/a;454481
7590;2018;May 10th;Mult v Kino: Vypusk No. 75;Adventure;44211;n/a;44211
7591;2018;October 14th;Skid Row Marathon;Documentary;;n/a;
7592;2018;May 11th;Life of the Party;Comedy;12800000;53059911;65859911
7593;2018;May 9th;Liliane Susewind - Ein tierisches Abenteuer;Comedy;4297130;n/a;4297130
7594;2018;February 8th;Todos lo saben;Drama;15381151;2677805;18058956
7595;2018;August 1st;Bedoune Tarikh, Bedoune Emza;Drama;89337;36446;125783
7596;2018;May 9th;Happi awa 3 & 4;Drama;167082;n/a;167082
7597;2018;May 11th;Breaking In;Thriller/Suspense;4644792;46840590;51485382
7598;2018;May 9th;Leseulleo;Drama;5782988;n/a;5782988
7599;2018;May 4th;Yo Sandro, La pelicula;Concert/Performance;3726;n/a;3726
7600;2018;May 9th;AÃ…Å¸kÃ„Â±n GÃƒÂ¶ren GÃƒÂ¶zlere Ã„Â°htiyacÃ„Â± Yok;Drama;70773;n/a;70773
7601;2018;May 4th;Wo Men De Qing Chun Sui Yue;Drama;399868;n/a;399868
7602;2018;May 11th;Abdel et la comtesse;Comedy;1348863;n/a;1348863
7603;2018;May 4th;Xiang Gang Da Ying Jiu;Drama;1034623;n/a;1034623
7604;2017;May 19th;Royal Ballet: Jewels;Concert/Performance;8940;n/a;8940
7605;2017;May 19th;Radio Dreams;Comedy;81;27836;27917
7606;2017;May 19th;Pichi Garu;Drama;4116303;n/a;4116303
7607;2017;May 19th;Perdidos;Thriller/Suspense;199532;n/a;199532
7608;2017;May 19th;Pecking Order;Documentary;369960;n/a;369960
7609;2017;May 19th;Ptitsa;Drama;8860;n/a;8860
7610;2017;May 19th;Pi Sheng Shang de Hun;Drama;487625;3669;491294
7611;2017;May 19th;Paint it Black;Drama;;n/a;
7612;2017;May 19th;Parir;Documentary;3317;n/a;3317
7613;2017;May 19th;Puppy Love;;416454;n/a;416454
7614;2017;May 19th;O Rastro;Horror;206454;n/a;206454
7615;2017;October 6th;The Osiris Child: Science Fiction Volume One;Drama;52311;n/a;52311
7616;2017;May 19th;New York Masali;Romantic Comedy;2220;n/a;2220
7617;2017;May 19th;No sÃƒÂ© decir adiÃƒÂ³s;Drama;79543;n/a;79543
7618;2017;May 19th;MielensÃƒÂ¤pahoittaja;Drama;2391;n/a;2391
7619;2017;May 19th;Mickey And The Roadster Racers;Adventure;32192;n/a;32192
7620;2017;September 8th;Nadie nos mira;Drama;27529;n/a;27529
7621;2017;August 9th;Machines;Documentary;4621;9710;14331
7622;2017;May 19th;Mei Rong Zhen;Romantic Comedy;1443658;n/a;1443658
7623;2017;May 19th;Life Ki Aisi Ki Taisi - Ho Gayi Haalat Kaisi;Comedy;144;n/a;144
7624;2017;May 19th;Karsandas: Pay And Use;Drama;14579;n/a;14579
7625;2015;September 4th;Blind;Drama;37838;n/a;37838
7626;2015;July 17th;Bin Roye;Drama;540639;n/a;540639
7627;2015;July 17th;Andre Rieu's 2015 Maastricht Concert;Concert/Performance;2862599;n/a;2862599
7628;2017;May 19th;Legion of Brothers;Drama;;n/a;
7629;2015;July 17th;AllÃƒÂ©luia;Thriller/Suspense;;6334;
7630;2015;July 16th;Ruben Guthrie;Comedy;236270;n/a;236270
7631;2015;July 16th;National Theatre Live: Everyman;Concert/Performance;514147;n/a;514147
7632;2015;July 24th;Pixels;Adventure;165275818;78765986;244041804
7633;2015;July 16th;Maari;Action;107917;n/a;107917
7634;2015;July 24th;Jian Bing Man;Comedy;169842267;n/a;169842267
7635;2015;July 16th;The Breakup Playlist;Drama;28454;n/a;28454
7636;2015;July 15th;Sseu-ri-Sseom-meo-Na-it;Comedy;523620;n/a;523620
7637;2015;July 17th;Bajrangi Bhaijaan;Action;113600346;8178001;121778347
7638;2015;July 14th;The Impressionists;Documentary;;n/a;
7639;2015;July 10th;Zhu Zhu Xia 2;Adventure;6550000;n/a;6550000
7640;2015;July 17th;Ant-Man;Action;338656286;180202163;518858449
7641;2015;January 22nd;Zhuo yao ji;Adventure;359262825;32766;359295591
7642;2015;July 15th;Court;Drama;34518;22898;57416
7643;2015;July 10th;Ti ricordi di me?;Romantic Comedy;15266;n/a;15266
7644;2015;July 10th;Tap World;Documentary;;26747;
7645;2017;May 19th;Kimi no Manazashi;Drama;4517524;n/a;4517524
7646;2015;July 10th;Tangerine;Comedy;233546;702354;935900
7647;2015;July 10th;The Suicide Theory;Thriller/Suspense;;6434;
7648;2016;May 20th;Hard Sell;Drama;;n/a;
7649;2016;May 20th;Groove City;Musical;24714;n/a;24714
7650;2016;May 20th;Espectro;Horror;1546;n/a;1546
7651;2015;July 10th;Siccin 2;Horror;163542;n/a;163542
7652;2016;May 20th;Departure;Drama;27561;n/a;27561
7653;2016;May 20th;Gang Dao;Drama;1424520;n/a;1424520
7654;2016;May 20th;Crocodile Gennadiy;Documentary;2968;21142;24110
7655;2015;July 10th;Riaru onigokko;Horror;989276;n/a;989276
7656;2016;May 20th;Cinzento e Negro;Thriller/Suspense;7249;n/a;7249
7657;2016;May 20th;Chicken;Drama;10638;n/a;10638
7658;2016;June 24th;The Call Up;Action;158758;n/a;158758
7659;2016;May 20th;Case: Osterberg;Drama;1860;n/a;1860
7660;2016;May 20th;Brahmotsavam;Drama;557;n/a;557
7661;2016;July 15th;CafÃƒÂ© Society;Drama;33245087;11103205;44348292
7662;2016;July 22nd;La belle saison;Drama;247138;35322;282460
7663;2016;May 20th;Back to the Jurassic;Adventure;65003;n/a;65003
7664;2016;May 20th;Aqui, em Lisboa: EpisÃƒÂ³dios da Vida da Cidade;Drama;658;n/a;658
7665;2016;May 20th;Alamet-i Kiyamet;Horror;535964;n/a;535964
7666;2016;May 27th;Alice Through the Looking Glass;Adventure;199885731;77042381;276928112
7667;2016;May 20th;Amores Urbanos;;12388;n/a;12388
7668;2016;May 20th;708 090 Shenzhen Love Story;;45996;n/a;45996
7669;2016;May 19th;Tsukuroi tatsu hito;Drama;34966;n/a;34966
7670;2018;May 4th;VÃƒÂ¡lek;Documentary;10180;n/a;10180
7671;2016;May 19th;Rumbos Paralelos;Drama;1041716;n/a;1041716
7672;2016;May 19th;A Story Worth Living;Documentary;;n/a;
7673;2018;December 6th;Tuntematon sotilas;Drama;22957;n/a;22957
7674;2018;May 4th;Taco Shop;Comedy;;n/a;
7675;2018;May 4th;Todo Lo demÃƒÂ¡s;Drama;;n/a;
7676;2018;May 4th;Son Oyun;Drama;3154;n/a;3154
7677;2018;May 4th;Tully;Comedy;6582933;9369755;15952688
7678;2018;May 4th;Strangers on the Earth;Documentary;;9518;
7679;2018;May 4th;Das schweigende Klassenzimmer;Drama;1136721;n/a;1136721
7680;2018;May 4th;Sadhaka, la senda del Yoga;Documentary;11638;n/a;11638
7681;2018;May 4th;Ser Luthier, Manos Argentinas;Documentary;507;n/a;507
7682;2018;May 4th;Ruth;Drama;38123;n/a;38123
7683;2018;May 4th;RBG;Documentary;395136;14051361;14446497
7684;2018;May 4th;Rapurasu no majo;Thriller/Suspense;10973351;n/a;10973351
7685;2018;May 4th;Radiogram;Drama;10412;n/a;10412
